STATION,LATITUDE,LONGITUDE,ELEVATION,MONTH,DATE,DSNW,SNOW,TAVG,TMAX,TMIN,WSF5
USW00094846,41.96017,-87.93164,204.8,1,2019-01,0,16,-1.7,1.5,-4.9,25
USW00094846,41.96017,-87.93164,204.8,2,2019-02,0,0,3.4,8.7,-2,20.6
USW00094846,41.96017,-87.93164,204.8,3,2019-03,2,198,4.2,8.4,-0.1,25.5
USW00094846,41.96017,-87.93164,204.8,4,2019-04,0,0,12.1,17.6,6.5,21
USW00094846,41.96017,-87.93164,204.8,5,2019-05,0,0,14.4,19.9,8.9,22.4
USW00094846,41.96017,-87.93164,204.8,6,2019-06,0,0,22.5,28.5,16.4,17.4
USW00094846,41.96017,-87.93164,204.8,7,2019-07,0,0,23.7,28.8,18.6,19.2
USW00094846,41.96017,-87.93164,204.8,8,2019-08,0,0,21.9,27.1,16.8,20.1
USW00094846,41.96017,-87.93164,204.8,9,2019-09,0,0,20.8,26.5,15.1,16.1
USW00094846,41.96017,-87.93164,204.8,10,2019-10,0,0,14.2,18.6,9.8,20.1
USW00094846,41.96017,-87.93164,204.8,11,2019-11,0,3,4.3,8.3,0.3,17.9
USW00094846,41.96017,-87.93164,204.8,12,2019-12,2,135,-2.6,1.3,-6.5,22.4
USW00094846,41.96017,-87.93164,204.8,,2018-01,1,117,-4,0,-8,18.8
USW00094846,41.96017,-87.93164,204.8,,2018-02,7,515,-1.7,3.4,-6.8,20.6
USW00094846,41.96017,-87.93164,204.8,,2018-03,1,66,2.8,7.1,-1.5,17.9
